DisNo.,Year,Month,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Total Deaths,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",Location
2000-0010-IDN,2000,Januari,Technological,Transport,Road,Road,13,22,0,0,Jawa Tengah
2000-0011-IDN,2000,Januari,Technological,Transport,Road,Road,13,333,0,0,Jawa Tengah
2000-0082-IDN,2000,Februari,Natural,Hydrological,Mass movement (wet),Mudslide,34,84377,11600,19714,Jawa Tengah
2000-0101-IDN,2000,Maret,Technological,Transport,Road,Road,26,31,0,0,Jawa Tengah
2000-0108-IDN,2000,Januari,Natural,Biological,Epidemic,Viral disease,10,1516,0,0,Jakarta
2000-0117-IDN,2000,Februari,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Riau
2000-0117-IDN,2000,Februari,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Kalimantan Barat
2000-0117-IDN,2000,Februari,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Kalimantan Tengah
2000-0230-IDN,2000,Mei,Natural,Geophysical,Earthquake,Ground movement,45,52770,30000,50985,Sulawesi Tengah
2000-0258-IDN,2000,Mei,Natural,Hydrological,Flood,Flash flood,126,50000,79000,134261,Nusa Tenggara Timur
2000-0268-IDN,2000,Mei,Technological,Transport,Water,Water,41,12005,0,0,Maluku
2000-0293-IDN,2000,Juni,Natural,Geophysical,Earthquake,Ground movement,103,204714,41000,69680,Bengkulu
2000-0320-IDN,2000,Mei,Natural,Biological,Epidemic,Viral disease,15,203,0,0,Nusa Tenggara Timur
2000-0405-IDN,2000,Juni,Technological,Transport,Rail,Rail,32,24750,0,0,Sumatera Barat
2000-0436-IDN,2000,Juli,Technological,Transport,Road,Road,10,3,0,0,Jawa Tengah
2000-0449-IDN,2000,Juli,Natural,Geophysical,Earthquake,Ground movement,25,4124,2000,3399,Jawa Barat
2000-0469-IDN,2000,Juni,Natural,Hydrological,Mass movement (wet),Landslide (wet),4,520,0,0,Sulawesi Tengah
2000-0635-IDN,2000,September,Technological,Miscellaneous accident,Explosion (Miscellaneous),Explosion (Miscellaneous),10,30,0,0,Jakarta
2000-0686-IDN,2000,September,Technological,Transport,Rail,Rail,16,66,0,0,Jawa Tengah
2000-0701-IDN,2000,Oktober,Natural,Hydrological,Mass movement (wet),Mudslide,40,56210,43000,73079,Jawa Tengah
2000-0721-IDN,2000,November,Natural,Hydrological,Mass movement (wet),Landslide (wet),52,19,0,0,Jawa Tengah
2000-0721-IDN,2000,November,Natural,Hydrological,Mass movement (wet),Landslide (wet),52,19,0,0,Bali
2000-0761-IDN,2000,Oktober,Natural,Geophysical,Earthquake,Ground movement,16,5500,0,0,Banten
2000-0762-IDN,2000,Juni,Natural,Geophysical,Earthquake,Ground movement,1,3000,0,0,Sumatera Selatan
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Sumatera Barat
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Sumatera Selatan
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Aceh
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Riau
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Jambi
2000-0791-IDN,2000,Desember,Natural,Hydrological,Flood,Flash flood,38,39852,0,0,Sulawesi Utara
2000-0791-IDN,2000,Desember,Natural,Hydrological,Flood,Flash flood,38,39852,0,0,Nusa Tenggara Barat
2000-0791-IDN,2000,Desember,Natural,Hydrological,Flood,Flash flood,38,39852,0,0,Yogyakarta
2000-0844-IDN,2000,Desember,Technological,Transport,Rail,Rail,11,12,0,0,Jawa Timur
2000-0889-IDN,2000,Juni,Technological,Transport,Water,Water,481,11,0,0,Nusa Tenggara Timur
2000-0926-IDN,2000,Maret,Technological,Transport,Road,Road,31,5,0,0,Bengkulu
2001-0041-IDN,2001,Februari,Natural,Hydrological,Mass movement (wet),Landslide (wet),122,23000,10000,16528,Banten
2001-0046-IDN,2001,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),63,358167,0,0,Sulawesi Utara
2001-0046-IDN,2001,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),63,358167,0,0,Nusa Tenggara Barat
2001-0046-IDN,2001,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),63,358167,0,0,Yogyakarta
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Jawa Barat
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Jawa Timur
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Jakarta
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Banten
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Gorontalo
2001-0171-IDN,2001,April,Technological,Transport,Water,Water,27,3612,0,0,Maluku
2001-0181-IDN,2001,Mei,Technological,Transport,Road,Road,16,85767,0,0,Jawa Barat
2001-0234-IDN,2001,Mei,Technological,Transport,Water,Water,47,15682,0,0,Sulawesi Tengah
2001-0407-IDN,2001,Juli,Natural,Hydrological,Flood,Riverine flood,257,3694,0,0,Sumatera Selatan
2001-0437-IDN,2001,Agustus,Technological,Transport,Road,Road,22,19,0,0,Jawa Tengah
2001-0462-IDN,2001,Agustus,Technological,Transport,Rail,Rail,13,5,0,0,Jawa Tengah
2001-0493-IDN,2001,September,Technological,Transport,Rail,Rail,42,35,0,0,Jawa Barat
2001-0546-IDN,2001,Juni,Natural,Geophysical,Earthquake,Ground movement,5,12512,0,0,Jawa Barat
2001-0586-IDN,2001,Oktober,Technological,Transport,Water,Water,350,44,0,0,Sumatera Barat
2001-0608-IDN,2001,November,Technological,Transport,Rail,Rail,20,15,0,0,Banten
2001-0646-IDN,2001,Oktober,Technological,Transport,Rail,Rail,12,6,0,0,Banten
2001-0651-IDN,2001,Oktober,Natural,Hydrological,Mass movement (wet),Landslide (wet),15,310,0,0,Jawa Tengah
2001-0652-IDN,2001,Oktober,Natural,Hydrological,Mass movement (wet),Landslide (wet),7,600,0,0,Jawa Tengah
2001-0669-IDN,2001,Februari,Natural,Geophysical,Earthquake,Ground movement,585,511572,0,0,Bengkulu
2001-0697-IDN,2001,Desember,Technological,Transport,Rail,Rail,54,47,0,0,Jawa Tengah
2001-0715-IDN,2001,Desember,Natural,Hydrological,Flood,Flood (General),585,511572,0,0,Papua
2001-0719-IDN,2001,Desember,Natural,Hydrological,Flood,Riverine flood,15,2000,0,0,Sumatera Selatan
2001-0719-IDN,2001,Desember,Natural,Hydrological,Flood,Riverine flood,15,2000,0,0,Sulawesi Selatan
2001-0780-IDN,2001,Februari,Technological,Transport,Water,Water,31,47466,0,0,Lampung
2002-0018-IDN,2002,Januari,Natural,Hydrological,Flood,Riverine flood,21,40,0,0,Sumatera Selatan
2002-0031-IDN,2002,Januari,Natural,Biological,Epidemic,Bacterial disease,17,757,0,0,Nusa Tenggara Timur
2002-0035-IDN,2002,Januari,Natural,Hydrological,Flood,Riverine flood,13,2000,0,0,Sumatera Selatan
2002-0054-IDN,2002,Januari,Natural,Hydrological,Flood,Riverine flood,150,500750,350000,569447,Jawa Timur
2002-0054-IDN,2002,Januari,Natural,Hydrological,Flood,Riverine flood,150,500750,350000,569447,Nusa Tenggara Timur
2002-0054-IDN,2002,Januari,Natural,Hydrological,Flood,Riverine flood,150,500750,350000,569447,Sulawesi Tenggara
2002-0054-IDN,2002,Januari,Natural,Hydrological,Flood,Riverine flood,150,500750,350000,569447,Banten
2002-0054-IDN,2002,Januari,Natural,Hydrological,Flood,Riverine flood,150,500750,350000,569447,Jawa Barat
2002-0115-IDN,2002,Februari,Technological,Transport,Water,Water,34,84377,0,0,Sumatera Selatan
2002-0186-IDN,2002,Maret,Natural,Hydrological,Flood,Riverine flood,14,780,0,0,Sumatera Selatan
2002-0236-IDN,2002,April,Natural,Hydrological,Flood,Riverine flood,19,292648,0,0,Nusa Tenggara Timur
2002-0291-IDN,2002,Mei,Natural,Hydrological,Flood,Riverine flood,3,1000,0,0,Sulawesi Tenggara
2002-0395-IDN,2002,Juli,Technological,Transport,Road,Road,22,6,0,0,Jawa Timur
2002-0414-IDN,2002,Juli,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),53,17,0,0,Sumatera Selatan
2002-0434-IDN,2002,Juli,Technological,Transport,Air,Air,9,1,0,0,Kalimantan Tengah
2002-0512-IDN,2002,Agustus,Natural,Geophysical,Earthquake,Ground movement,2,2548,0,0,Sulawesi Tengah
2002-0529-IDN,2002,Juli,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),7,500,0,0,Jakarta
2002-0537-IDN,2002,Agustus,Technological,Miscellaneous accident,Explosion (Miscellaneous),Explosion (Miscellaneous),12,16,0,0,Jawa Tengah
2002-0556-IDN,2002,Agustus,Technological,Transport,Water,Water,16,13,0,0,Sulawesi Tenggara
2002-0612-IDN,2002,September,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),10,15,0,0,Jawa Tengah
2002-0615-IDN,2002,Agustus,Natural,Climatological,Wildfire,Forest fire,20,200,0,0,Riau
2002-0615-IDN,2002,Agustus,Natural,Climatological,Wildfire,Forest fire,20,200,0,0,Kalimantan Barat
2002-0615-IDN,2002,Agustus,Natural,Climatological,Wildfire,Forest fire,20,200,0,0,Kalimantan Tengah
2002-0616-IDN,2002,September,Technological,Transport,Water,Water,10,70717,0,0,Riau
2002-0643-IDN,2002,Oktober,Natural,Geophysical,Earthquake,Tsunami,8,9082,0,0,Papua
2002-0695-IDN,2002,November,Technological,Transport,Water,Water,70,185869,0,0,Maluku
2002-0701-IDN,2002,November,Natural,Geophysical,Volcanic activity,Ash fall,22,5000,0,0,Jawa Barat
2002-0732-IDN,2002,November,Natural,Hydrological,Flood,Riverine flood,13,87000,1600,2603,Sumatera Selatan
2002-0732-IDN,2002,November,Natural,Hydrological,Flood,Riverine flood,13,87000,1600,2603,Aceh
2002-0769-IDN,2002,Desember,Natural,Hydrological,Mass movement (wet),Mudslide,32,5,0,0,Jawa Timur
2002-0820-IDN,2002,September,Natural,Geophysical,Earthquake,Ground movement,14,155,0,0,Papua
2002-0822-IDN,2002,November,Natural,Geophysical,Earthquake,Ground movement,3,60,0,0,Aceh
2002-0858-IDN,2002,April,Natural,Biological,Epidemic,Viral disease,19,2,0,0,Jakarta
2003-0016-IDN,2003,Januari,Natural,Hydrological,Flood,Riverine flood,3,10000,0,0,Banten
2003-0016-IDN,2003,Januari,Natural,Hydrological,Flood,Riverine flood,3,10000,0,0,Sulawesi Barat
2003-0021-IDN,2003,Januari,Natural,Hydrological,Flood,Flood (General),76,230,0,0,Nusa Tenggara Barat
2003-0053-IDN,2003,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),21,1760,0,0,Jawa Barat
2003-0060-IDN,2003,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),10,20,0,0,Jawa Barat
2003-0067-IDN,2003,Januari,Natural,Hydrological,Flood,Flood (General),10,3700,0,0,Sumatera Barat
2003-0069-IDN,2003,Januari,Natural,Geophysical,Earthquake,Ground movement,2,2502,0,0,Nusa Tenggara Barat
2003-0074-IDN,2003,Januari,Natural,Hydrological,Flood,Flash flood,1,15000,0,0,Jawa Tengah
2003-0106-IDN,2003,Februari,Technological,Transport,Water,Water,70,63,0,0,Sumatera Utara
2003-0111-IDN,2003,Maret,Technological,Transport,Rail,Rail,14,40,0,0,Jawa Barat
2003-0118-IDN,2003,Februari,Natural,Hydrological,Flood,Riverine flood,3,33000,0,0,Jakarta
2003-0118-IDN,2003,Februari,Natural,Hydrological,Flood,Riverine flood,3,33000,0,0,Banten
2003-0144-IDN,2003,Maret,Natural,Hydrological,Mass movement (wet),Landslide (wet),12,7282,0,0,Sulawesi Selatan
2003-0155-IDN,2003,Maret,Natural,Hydrological,Mass movement (wet),Landslide (wet),76,229548,3961,6301,Nusa Tenggara Timur
2003-0254-IDN,2003,Mei,Natural,Geophysical,Earthquake,Ground movement,1,247,0,0,Maluku Utara
2003-0275-IDN,2003,Juni,Technological,Transport,Road,Road,10,4,0,0,Jawa Tengah
2003-0276-IDN,2003,Januari,Technological,Transport,Road,Road,17,17367,0,0,Jawa Tengah
2003-0285-IDN,2003,Juni,Technological,Transport,Road,Road,15,7,0,0,Jawa Tengah
2003-0295-IDN,2003,Juni,Technological,Transport,Road,Road,11,15,0,0,Jawa Barat
2003-0414-IDN,2003,Agustus,Natural,Geophysical,Earthquake,Ground movement,7,500,0,0,Maluku Utara
2003-0450-IDN,2003,September,Technological,Transport,Water,Water,4,94,0,0,Bali
2003-0475-IDN,2003,September,Technological,Transport,Water,Water,17,41,0,0,Riau
2003-0493-IDN,2003,Agustus,Technological,Transport,Road,Road,55,2,0,0,Yogyakarta
2003-0531-IDN,2003,November,Natural,Hydrological,Flood,Flash flood,241,1498,0,0,Jawa Tengah
2003-0531-IDN,2003,November,Natural,Hydrological,Flood,Flash flood,241,1498,0,0,Sumatera Selatan
2003-0592-IDN,2003,November,Technological,Transport,Water,Water,10,70717,0,0,Sulawesi Tenggara
2003-0593-IDN,2003,November,Natural,Hydrological,Flood,Riverine flood,8,25000,0,0,Jambi
2003-0776-IDN,2003,Desember,Natural,Hydrological,Flood,Riverine flood,148,350000,0,0,Sulawesi Barat
2003-0776-IDN,2003,Desember,Natural,Hydrological,Flood,Riverine flood,148,350000,0,0,Riau
2003-0776-IDN,2003,Desember,Natural,Hydrological,Flood,Riverine flood,148,350000,0,0,Jambi
2003-0814-IDN,2003,Juli,Technological,Transport,Water,Water,20,32652,0,0,Nusa Tenggara Barat
2003-9760-IDN,2003,Agustus,Natural,Climatological,Drought,Drought,13,15000,1000,1591,Nusa Tenggara Timur
2004-0001-IDN,2004,Januari,Natural,Geophysical,Earthquake,Ground movement,1,30040,12000,18593,Nusa Tenggara Barat
2004-0001-IDN,2004,Januari,Natural,Geophysical,Earthquake,Ground movement,1,30040,12000,18593,Bali
2004-0033-IDN,2004,Januari,Natural,Geophysical,Volcanic activity,Ash fall,14,4615,0,0,Nusa Tenggara Timur
2004-0040-IDN,2004,Februari,Natural,Geophysical,Earthquake,Ground movement,37,14072,1000,1549,Papua
2004-0061-IDN,2004,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),29,3617,3500,5423,Jawa Tengah
2004-0062-IDN,2004,Februari,Natural,Meteorological,Storm,Severe weather,4,2400,0,0,Jawa Timur
2004-0062-IDN,2004,Februari,Natural,Meteorological,Storm,Severe weather,4,2400,0,0,Nusa Tenggara Barat
2004-0088-IDN,2004,Februari,Natural,Geophysical,Earthquake,Ground movement,5,507,0,0,Sumatera Barat
2004-0092-IDN,2004,Maret,Technological,Industrial accident,Fire (Industrial),Fire (Industrial),12,7282,0,0,Jawa Barat
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Jawa Tengah
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Jawa Barat
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Banten
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Aceh
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Jambi
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Yogyakarta
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Bali
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Kalimantan Selatan
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Nusa Tenggara Barat
2004-0093-IDN,2004,Januari,Natural,Biological,Epidemic,Viral disease,658,58301,0,0,Nusa Tenggara Timur
2004-0098-IDN,2004,Februari,Natural,Hydrological,Flood,Riverine flood,5,13000,60000,92964,Jakarta
2004-0117-IDN,2004,Maret,Technological,Transport,Water,Water,223,11,0,0,Sulawesi Selatan
2004-0129-IDN,2004,Maret,Natural,Hydrological,Mass movement (wet),Landslide (wet),33,5000,0,0,Sulawesi Selatan
2004-0135-IDN,2004,April,Technological,Transport,Water,Water,14,17239,0,0,Papua
2004-0144-IDN,2004,Maret,Natural,Meteorological,Storm,Tropical cyclone,15,1315,0,0,Jawa Barat
2004-0173-IDN,2004,April,Natural,Hydrological,Mass movement (wet),Landslide (wet),13,7,0,0,Jawa Barat
2004-0177-IDN,2004,April,Natural,Hydrological,Mass movement (wet),Landslide (wet),44,11,0,0,Sumatera Barat
2004-0251-IDN,2004,Juni,Natural,Geophysical,Volcanic activity,Ash fall,17,16828,0,0,Sulawesi Utara
2004-0269-IDN,2004,Juni,Natural,Geophysical,Volcanic activity,Ash fall,2,20005,0,0,Jawa Timur
2004-0389-IDN,2004,Juli,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),2,2500,0,0,Jakarta
2004-0399-IDN,2004,Juli,Technological,Transport,Water,Water,14,2,0,0,Maluku
2004-0418-IDN,2004,Agustus,Technological,Transport,Water,Water,12,33,0,0,Sulawesi Utara
2004-0463-IDN,2004,September,Natural,Geophysical,Volcanic activity,Ash fall,10,2100,0,0,Nusa Tenggara Timur
2004-0562-IDN,2004,November,Natural,Geophysical,Earthquake,Ground movement,33,83381,0,0,Nusa Tenggara Timur
2004-0605-IDN,2004,November,Technological,Transport,Road,Road,16,10,0,0,Jawa Tengah
2004-0607-IDN,2004,November,Natural,Geophysical,Earthquake,Ground movement,32,12833,55000,85217,Papua
2004-0612-IDN,2004,November,Technological,Transport,Air,Air,25,56,0,0,Jawa Tengah
2004-0645-IDN,2004,Desember,Technological,Transport,Air,Air,14,17239,0,0,Jawa Tengah
2004-0659-IDN,2004,Desember,Natural,Geophysical,Earthquake,Tsunami,165708,532898,4451600,6897286,Sumatera Selatan
2004-0659-IDN,2004,Desember,Natural,Geophysical,Earthquake,Tsunami,165708,532898,4451600,6897286,Aceh
2004-0691-IDN,2004,Juni,Technological,Transport,Water,Water,22,185,0,0,Maluku
2004-0718-IDN,2004,Juli,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),11,101,0,0,Jawa Barat
2004-0723-IDN,2004,Agustus,Technological,Industrial accident,Poisoning,Poisoning,11,100,0,0,Kepulauan Riau
2005-0031-IDN,2005,Januari,Natural,Geophysical,Earthquake,Ground movement,1,684,0,0,Sulawesi Tengah
2005-0089-IDN,2005,Februari,Natural,Hydrological,Mass movement (wet),Landslide (wet),143,364609,5000,7493,Jawa Barat
2005-0091-IDN,2005,Maret,Technological,Transport,Air,Air,15,3,0,0,Papua
2005-0111-IDN,2005,Maret,Technological,Transport,Water,Water,33,84420,0,0,Riau
2005-0160-IDN,2005,Maret,Natural,Geophysical,Earthquake,Ground movement,915,105313,0,0,Sumatera Selatan
2005-0160-IDN,2005,Maret,Natural,Geophysical,Earthquake,Ground movement,915,105313,0,0,Aceh
2005-0202-IDN,2005,April,Natural,Geophysical,Volcanic activity,Ash fall,6,26000,0,0,Sumatera Barat
2005-0223-IDN,2005,April,Natural,Hydrological,Flood,Flash flood,47,768,0,0,Aceh
2005-0353-IDN,2005,Juli,Technological,Transport,Water,Water,200,346378,0,0,Papua
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Jawa Tengah
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Jawa Barat
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Jawa Timur
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Jakarta
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Banten
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Sumatera Utara
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Sumatera Selatan
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Aceh
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Riau
2005-0374-IDN,2005,Juni,Natural,Biological,Epidemic,Viral disease,15,329,0,0,Madura
2005-0430-IDN,2005,Agustus,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Sumatera Utara
2005-0430-IDN,2005,Agustus,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Kalimantan Selatan
2005-0430-IDN,2005,Agustus,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Kalimantan Barat
2005-0430-IDN,2005,Agustus,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Kalimantan Tengah
2005-0487-IDN,2005,September,Natural,Hydrological,Mass movement (wet),Landslide (wet),25,10,0,0,Sumatera Barat
2005-0495-IDN,2005,September,Technological,Transport,Air,Air,150,14,0,0,Sumatera Utara
2005-0549-IDN,2005,September,Technological,Transport,Water,Water,18,34,0,0,Sulawesi Utara
2005-0589-IDN,2005,Oktober,Natural,Hydrological,Flood,Flash flood,28,12211,0,0,Jawa Timur
2005-0589-IDN,2005,Oktober,Natural,Hydrological,Flood,Flash flood,28,12211,0,0,Aceh
2005-0718-IDN,2005,Desember,Natural,Hydrological,Flood,Flash flood,79,7811,0,0,Jawa Timur
2005-0788-IDN,2005,Juni,Technological,Transport,Rail,Rail,2,125,0,0,Jakarta
2006-0001-IDN,2006,Januari,Technological,Transport,Road,Road,11,14,0,0,Jawa Timur
2006-0007-IDN,2006,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),156,8313,27000,39196,Jawa Tengah
2006-0052-IDN,2006,Januari,Technological,Transport,Water,Water,36,71,0,0,Nusa Tenggara Barat
2006-0069-IDN,2006,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),11,3000,10943,15886,Nusa Tenggara Barat
2006-0069-IDN,2006,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),11,3000,10943,15886,Nusa Tenggara Timur
2006-0069-IDN,2006,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),11,3000,10943,15886,Bali
2006-0074-IDN,2006,Januari,Natural,Hydrological,Flood,Riverine flood,19,10000,27100,39342,Jawa Barat
2006-0074-IDN,2006,Januari,Natural,Hydrological,Flood,Riverine flood,19,10000,27100,39342,Jawa Tengah
2006-0074-IDN,2006,Januari,Natural,Hydrological,Flood,Riverine flood,19,10000,27100,39342,Jakarta
2006-0099-IDN,2006,Februari,Natural,Hydrological,Flood,Flash flood,39,17539,25000,36293,Sulawesi Utara
2006-0167-IDN,2006,April,Technological,Transport,Water,Water,29,3617,0,0,Nusa Tenggara Timur
