DisNo.,Year,Month,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Total Deaths,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",Location
2019-0523-IDN,2019,Oktober,Natural,Hydrological,Flood,Flood (General),13,9435,0,0,Aceh
2019-0620-IDN,2019,Desember,Natural,Hydrological,Flood,Flash flood,14,5000,0,0,Sumatera Barat
2019-0620-IDN,2019,Desember,Natural,Hydrological,Flood,Flash flood,14,5000,0,0,Sulawesi Tengah
2019-0632-IDN,2019,Desember,Natural,Hydrological,Flood,Flash flood,66,501110,1200000,1373658,Jakarta
2019-0632-IDN,2019,Desember,Natural,Hydrological,Flood,Flash flood,66,501110,1200000,1373658,Banten
2019-0632-IDN,2019,Desember,Natural,Hydrological,Flood,Flash flood,66,501110,1200000,1373658,Sumatera Utara
2019-0632-IDN,2019,Desember,Natural,Hydrological,Flood,Flash flood,66,501110,1200000,1373658,Bengkulu
2019-0632-IDN,2019,Desember,Natural,Hydrological,Flood,Flash flood,66,501110,1200000,1373658,Jawa Barat
2019-0641-IDN,2019,Desember,Technological,Transport,Road,Road,28,13,0,0,Aceh
2019-0646-IDN,2019,Februari,Natural,Climatological,Wildfire,Wildfire (General),585,511572,0,0,Sumatera Selatan
2019-0646-IDN,2019,Februari,Natural,Climatological,Wildfire,Wildfire (General),585,511572,0,0,Kalimantan Selatan
2019-0646-IDN,2019,Februari,Natural,Climatological,Wildfire,Wildfire (General),585,511572,0,0,Kalimantan Tengah
2019-0646-IDN,2019,Februari,Natural,Climatological,Wildfire,Wildfire (General),585,511572,0,0,Kalimantan Barat
2019-0646-IDN,2019,Februari,Natural,Climatological,Wildfire,Wildfire (General),585,511572,0,0,Riau
2019-0646-IDN,2019,Februari,Natural,Climatological,Wildfire,Wildfire (General),585,511572,0,0,Jambi
2019-0657-IDN,2019,Desember,Natural,Hydrological,Flood,Flood (General),6,60000,0,0,Riau
2020-0014-IDN,2020,Januari,Natural,Hydrological,Flood,Flood (General),27,7213,0,0,Kalimantan Timur
2020-0018-IDN,2020,Januari,Natural,Hydrological,Flood,Flash flood,10,70717,0,0,Bengkulu
2020-0024-IDN,2020,Januari,Technological,Transport,Water,Water,10,10,0,0,Sumatera Utara
2020-0033-IDN,2020,Januari,Natural,Hydrological,Flood,Flood (General),10,75000,0,0,Jawa Barat
2020-0033-IDN,2020,Januari,Natural,Hydrological,Flood,Flood (General),10,75000,0,0,Jawa Timur
2020-0036-IDN,2020,Januari,Natural,Hydrological,Flood,Flood (General),9,2122,0,0,Sumatera Utara
2020-0052-IDN,2020,Februari,Natural,Hydrological,Flood,Riverine flood,14,10905,0,0,Jakarta
2020-0052-IDN,2020,Februari,Natural,Hydrological,Flood,Riverine flood,14,10905,0,0,Sumatera Selatan
2020-0059-IDN,2020,Februari,Natural,Hydrological,Flood,Flood (General),6,115000,10000,11308,Jawa Barat
2020-0059-IDN,2020,Februari,Natural,Hydrological,Flood,Flood (General),6,115000,10000,11308,Sumatera Barat
2020-0068-IDN,2020,Februari,Natural,Hydrological,Flood,Flood (General),10,112000,0,0,Jakarta
2020-0068-IDN,2020,Februari,Natural,Hydrological,Flood,Flood (General),10,112000,0,0,Banten
2020-0086-IDN,2020,Maret,Natural,Hydrological,Flood,Flash flood,2,40000,7200,8142,Sulawesi Tengah
2020-0086-IDN,2020,Maret,Natural,Hydrological,Flood,Flash flood,2,40000,7200,8142,Sulawesi Utara
2020-0115-IDN,2020,Maret,Natural,Hydrological,Flood,Flood (General),33,84609,0,0,Jawa Barat
2020-0121-IDN,2020,Maret,Natural,Hydrological,Flood,Flood (General),1,56488,0,0,Jawa Barat
2020-0134-IDN,2020,April,Natural,Hydrological,Flood,Flash flood,4,100,0,0,Sumatera Barat
2020-0134-IDN,2020,April,Natural,Hydrological,Flood,Flash flood,4,100,0,0,Sulawesi Selatan
2020-0134-IDN,2020,April,Natural,Hydrological,Flood,Flash flood,4,100,0,0,Kalimantan Timur
2020-0144-IDN,2020,April,Natural,Hydrological,Flood,Flash flood,2,25000,0,0,Jawa Timur
2020-0151-IDN,2020,April,Natural,Hydrological,Flood,Flood (General),2,110000,0,0,Jawa Barat
2020-0161-IDN,2020,April,Natural,Hydrological,Flood,Flood (General),12,2000,0,0,Jawa Barat
2020-0161-IDN,2020,April,Natural,Hydrological,Flood,Flood (General),12,2000,0,0,Banten
2020-0161-IDN,2020,April,Natural,Hydrological,Flood,Flood (General),12,2000,0,0,Kalimantan Tengah
2020-0161-IDN,2020,April,Natural,Hydrological,Flood,Flood (General),12,2000,0,0,Kalimantan Timur
2020-0161-IDN,2020,April,Natural,Hydrological,Flood,Flood (General),12,2000,0,0,Bengkulu
2020-0185-IDN,2020,Mei,Natural,Hydrological,Flood,Flood (General),7,3805,0,0,Sulawesi Barat
2020-0224-IDN,2020,Juni,Natural,Hydrological,Flood,Flood (General),13,1835,0,0,Jawa Tengah
2020-0224-IDN,2020,Juni,Natural,Hydrological,Flood,Flood (General),13,1835,0,0,Papua Barat
2020-0225-IDN,2020,Juni,Natural,Geophysical,Earthquake,Ground movement,83,1560,0,0,Maluku Utara
2020-0245-IDN,2020,Mei,Natural,Hydrological,Flood,Flash flood,4,41837,0,0,Sumatera Selatan
2020-0245-IDN,2020,Mei,Natural,Hydrological,Flood,Flash flood,4,41837,0,0,Sulawesi Selatan
2020-0245-IDN,2020,Mei,Natural,Hydrological,Flood,Flash flood,4,41837,0,0,Aceh
2020-0245-IDN,2020,Mei,Natural,Hydrological,Flood,Flash flood,4,41837,0,0,Bengkulu
2020-0245-IDN,2020,Mei,Natural,Hydrological,Flood,Flash flood,4,41837,0,0,Riau
2020-0245-IDN,2020,Mei,Natural,Hydrological,Flood,Flash flood,4,41837,0,0,Nusa Tenggara Barat
2020-0250-IDN,2020,Juni,Natural,Hydrological,Flood,Flash flood,7,12003,2100,2375,Sulawesi Selatan
2020-0250-IDN,2020,Juni,Natural,Hydrological,Flood,Flash flood,7,12003,2100,2375,Sulawesi Utara
2020-0265-IDN,2020,Juni,Natural,Hydrological,Flood,Flood (General),12,10000,0,0,Aceh
2020-0310-IDN,2020,Agustus,Natural,Hydrological,Flood,Flash flood,22,23461,0,0,Sulawesi Utara
2020-0325-IDN,2020,Juli,Natural,Hydrological,Flood,Flood (General),105,14534,10000,11308,Sulawesi Selatan
2020-0325-IDN,2020,Juli,Natural,Hydrological,Flood,Flood (General),105,14534,10000,11308,Kalimantan Barat
2020-0429-IDN,2020,September,Natural,Hydrological,Mass movement (wet),Landslide (wet),11,170,0,0,Kalimantan Utara
2020-0486-IDN,2020,Oktober,Natural,Hydrological,Flood,Flood (General),15,10000,0,0,Jawa Barat
2020-0486-IDN,2020,Oktober,Natural,Hydrological,Flood,Flood (General),15,10000,0,0,Sumatera Barat
2020-0486-IDN,2020,Oktober,Natural,Hydrological,Flood,Flood (General),15,10000,0,0,Kalimantan Tengah
2020-0517-IDN,2020,November,Natural,Geophysical,Volcanic activity,Ash fall,23,19736,0,0,Nusa Tenggara Timur
2020-0518-IDN,2020,Desember,Natural,Geophysical,Volcanic activity,Lava flow,5,550,0,0,Jawa Timur
2020-0532-IDN,2020,Desember,Natural,Hydrological,Flood,Flood (General),5,110000,0,0,Jawa Tengah
2020-0532-IDN,2020,Desember,Natural,Hydrological,Flood,Flood (General),5,110000,0,0,Aceh
2020-0544-IDN,2020,Desember,Natural,Hydrological,Flood,Riverine flood,2,1852,0,0,Yogyakarta
2020-0551-IDN,2020,Desember,Natural,Hydrological,Flood,Flash flood,29,18200,0,0,Aceh
2020-0551-IDN,2020,Desember,Natural,Hydrological,Flood,Flash flood,29,18200,0,0,Nusa Tenggara Barat
2021-0003-IDN,2021,Januari,Natural,Geophysical,Earthquake,Ground movement,110,100653,58700,63398,Sulawesi Barat
2021-0004-IDN,2021,Januari,Natural,Geophysical,Volcanic activity,Lava flow,15,1329,0,0,Jawa Tengah
2021-0005-IDN,2021,Januari,Natural,Hydrological,Flood,Flood (General),21,126025,0,0,Sulawesi Utara
2021-0005-IDN,2021,Januari,Natural,Hydrological,Flood,Flood (General),21,126025,0,0,Kalimantan Tengah
2021-0005-IDN,2021,Januari,Natural,Hydrological,Flood,Flood (General),21,126025,0,0,Maluku
2021-0023-IDN,2021,Januari,Natural,Hydrological,Flood,Riverine flood,3,10000,0,0,Kalimantan Utara
2021-0023-IDN,2021,Januari,Natural,Hydrological,Flood,Riverine flood,3,10000,0,0,Nusa Tenggara Barat
2021-0032-IDN,2021,Januari,Technological,Transport,Air,Air,62,215708,0,0,Jawa Tengah
2021-0062-IDN,2021,Februari,Natural,Hydrological,Flood,Flood (General),2,25400,0,0,Jawa Timur
2021-0086-IDN,2021,Februari,Natural,Hydrological,Mass movement (wet),Landslide (wet),19,191,0,0,Jawa Timur
2021-0088-IDN,2021,Februari,Natural,Hydrological,Flood,Flood (General),7,228650,50000,54001,Jawa Barat
2021-0088-IDN,2021,Februari,Natural,Hydrological,Flood,Flood (General),7,228650,50000,54001,Jakarta
2021-0104-IDN,2021,Februari,Natural,Hydrological,Flood,Flood (General),1,90590,0,0,Jawa Tengah
2021-0130-IDN,2021,Maret,Technological,Transport,Road,Road,27,39,0,0,Jawa Barat
2021-0165-IDN,2021,Maret,Natural,Hydrological,Flood,Flood (General),11,1974,0,0,Jawa Timur
2021-0165-IDN,2021,Maret,Natural,Hydrological,Flood,Flood (General),11,1974,0,0,Banten
2021-0165-IDN,2021,Maret,Natural,Hydrological,Flood,Flood (General),11,1974,0,0,Jawa Barat
2021-0165-IDN,2021,Maret,Natural,Hydrological,Flood,Flood (General),11,1974,0,0,Gorontalo
2021-0173-IDN,2021,April,Natural,Meteorological,Storm,Tropical cyclone,226,509625,800000,864022,Nusa Tenggara Barat
2021-0185-IDN,2021,Maret,Natural,Hydrological,Flood,Flood (General),7,75506,0,0,Jawa Barat
2021-0185-IDN,2021,Maret,Natural,Hydrological,Flood,Flood (General),7,75506,0,0,Sumatera Utara
2021-0185-IDN,2021,Maret,Natural,Hydrological,Flood,Flood (General),7,75506,0,0,Aceh
2021-0200-IDN,2021,April,Natural,Geophysical,Earthquake,Ground movement,9,5979,0,0,Jawa Timur
2021-0267-IDN,2021,April,Natural,Hydrological,Mass movement (wet),Landslide (wet),13,1470,0,0,Sumatera Utara
2021-0267-IDN,2021,April,Natural,Hydrological,Mass movement (wet),Landslide (wet),13,1470,0,0,Nusa Tenggara Barat
2021-0302-IDN,2021,Mei,Natural,Hydrological,Flood,Flood (General),406,59800,0,0,Jawa Barat
2021-0323-IDN,2021,Juni,Natural,Geophysical,Earthquake,Ground movement,16,750,0,0,Maluku
2021-0379-IDN,2021,Juli,Natural,Hydrological,Flood,Flood (General),18,6408,0,0,Aceh
2021-0417-IDN,2021,Juli,Technological,Transport,Water,Water,55,81,0,0,Kalimantan Barat
2021-0530-IDN,2021,Agustus,Natural,Hydrological,Flood,Flood (General),9,62900,0,0,Sumatera Utara
2021-0584-IDN,2021,September,Natural,Hydrological,Flood,Flood (General),84,11839,0,0,Jawa Barat
2021-0584-IDN,2021,September,Natural,Hydrological,Flood,Flood (General),84,11839,0,0,Banten
2021-0584-IDN,2021,September,Natural,Hydrological,Flood,Flood (General),84,11839,0,0,Kalimantan Timur
2021-0584-IDN,2021,September,Natural,Hydrological,Flood,Flood (General),84,11839,0,0,Papua
2021-0584-IDN,2021,September,Natural,Hydrological,Flood,Flood (General),84,11839,0,0,Riau
2021-0621-IDN,2021,September,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),41,31,0,0,Jakarta
2021-0621-IDN,2021,September,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),41,31,0,0,Banten
2021-0653-IDN,2021,Oktober,Natural,Hydrological,Flood,Flood (General),41,79095,0,0,Sumatera Utara
2021-0653-IDN,2021,Oktober,Natural,Hydrological,Flood,Flood (General),41,79095,0,0,Kalimantan Barat
2021-0653-IDN,2021,Oktober,Natural,Hydrological,Flood,Flood (General),41,79095,0,0,Kalimantan Timur
2021-0653-IDN,2021,Oktober,Natural,Hydrological,Flood,Flood (General),41,79095,0,0,Kalimantan Tengah
2021-0695-IDN,2021,Oktober,Natural,Hydrological,Flood,Flood (General),4,2226,0,0,Jawa Tengah
2021-0695-IDN,2021,Oktober,Natural,Hydrological,Flood,Flood (General),4,2226,0,0,Sulawesi Selatan
2021-0695-IDN,2021,Oktober,Natural,Hydrological,Flood,Flood (General),4,2226,0,0,Kalimantan Barat
2021-0719-IDN,2021,November,Natural,Hydrological,Flood,Flash flood,9,1275,0,0,Jawa Timur
2021-0720-IDN,2021,Oktober,Natural,Geophysical,Earthquake,Ground movement,3,4532,0,0,Bali
2021-0768-IDN,2021,November,Natural,Hydrological,Flood,Flood (General),5,11028,0,0,Jawa Tengah
2021-0768-IDN,2021,November,Natural,Hydrological,Flood,Flood (General),5,11028,0,0,Banten
2021-0776-IDN,2021,Desember,Natural,Geophysical,Volcanic activity,Pyroclastic flow,71,10992,20000,21601,Jawa Timur
2021-0788-IDN,2021,Desember,Natural,Hydrological,Flood,Flood (General),6,78738,0,0,Jawa Tengah
2021-0788-IDN,2021,Desember,Natural,Hydrological,Flood,Flood (General),6,78738,0,0,Jakarta
2021-0788-IDN,2021,Desember,Natural,Hydrological,Flood,Flood (General),6,78738,0,0,Sulawesi Selatan
2021-0788-IDN,2021,Desember,Natural,Hydrological,Flood,Flood (General),6,78738,0,0,Kalimantan Selatan
2021-0788-IDN,2021,Desember,Natural,Hydrological,Flood,Flood (General),6,78738,0,0,Bali
2021-0801-IDN,2021,Desember,Natural,Geophysical,Earthquake,Ground movement,83,1737,0,0,Sulawesi Selatan
2021-0801-IDN,2021,Desember,Natural,Geophysical,Earthquake,Ground movement,83,1737,0,0,Nusa Tenggara Timur
2021-0823-IDN,2021,Desember,Natural,Hydrological,Flood,Flood (General),4,43000,0,0,Sumatera Barat
2021-0823-IDN,2021,Desember,Natural,Hydrological,Flood,Flood (General),4,43000,0,0,Sulawesi Barat
2021-0835-IDN,2021,Desember,Natural,Hydrological,Flood,Flood (General),2,27500,0,0,Aceh
2022-0011-IDN,2022,Januari,Natural,Hydrological,Flood,Flood (General),10,6500,0,0,Papua
2022-0012-IDN,2022,Januari,Natural,Geophysical,Earthquake,Ground movement,67,302,0,0,Maluku
2022-0042-IDN,2022,Januari,Natural,Geophysical,Earthquake,Ground movement,13,15390,23000,23000,Jawa Barat
2022-0042-IDN,2022,Januari,Natural,Geophysical,Earthquake,Ground movement,13,15390,23000,23000,Banten
2022-0062-IDN,2022,Februari,Technological,Transport,Road,Road,13,34,0,0,Jakarta
2022-0087-IDN,2022,Februari,Natural,Hydrological,Flood,Flood (General),1,14700,12000,12000,Jawa Tengah
2022-0087-IDN,2022,Februari,Natural,Hydrological,Flood,Flood (General),1,14700,12000,12000,Jawa Timur
2022-0087-IDN,2022,Februari,Natural,Hydrological,Flood,Flood (General),1,14700,12000,12000,Riau
2022-0087-IDN,2022,Februari,Natural,Hydrological,Flood,Flood (General),1,14700,12000,12000,Kalimantan Barat
2022-0115-IDN,2022,Februari,Natural,Geophysical,Earthquake,Ground movement,15,24903,39000,39000,Sumatera Barat
2022-0120-IDN,2022,Februari,Natural,Hydrological,Flood,Flood (General),13,31800,62000,62000,Jawa Timur
2022-0120-IDN,2022,Februari,Natural,Hydrological,Flood,Flood (General),13,31800,62000,62000,Jawa Tengah
2022-0120-IDN,2022,Februari,Natural,Hydrological,Flood,Flood (General),13,31800,62000,62000,Banten
2022-0136-IDN,2022,Maret,Natural,Hydrological,Flood,Flood (General),4,16003,0,0,Jawa Tengah
2022-0136-IDN,2022,Maret,Natural,Hydrological,Flood,Flood (General),4,16003,0,0,Kalimantan Timur
2022-0136-IDN,2022,Maret,Natural,Hydrological,Flood,Flood (General),4,16003,0,0,Bali
2022-0144-IDN,2022,Maret,Natural,Geophysical,Volcanic activity,Pyroclastic flow,76,253,0,0,Yogyakarta
2022-0161-IDN,2022,Maret,Technological,Transport,Water,Water,28,3533,0,0,Jakarta
2022-0324-IDN,2022,Mei,Natural,Hydrological,Flood,Flood (General),17,17201,0,0,Jawa Tengah
2022-0324-IDN,2022,Mei,Natural,Hydrological,Flood,Flood (General),17,17201,0,0,Sumatera Utara
2022-0324-IDN,2022,Mei,Natural,Hydrological,Flood,Flood (General),17,17201,0,0,Kalimantan Tengah
2022-0324-IDN,2022,Mei,Natural,Hydrological,Flood,Flood (General),17,17201,0,0,Jawa Barat
2022-0331-IDN,2022,Mei,Technological,Transport,Water,Water,19,31,0,0,Sulawesi Selatan
2022-0418-IDN,2022,Juli,Natural,Hydrological,Flood,Flood (General),7,3126,0,0,Sulawesi Selatan
2022-0418-IDN,2022,Juli,Natural,Hydrological,Flood,Flood (General),7,3126,0,0,Sulawesi Tengah
2022-0418-IDN,2022,Juli,Natural,Hydrological,Flood,Flood (General),7,3126,0,0,Gorontalo
2022-0563-IDN,2022,Agustus,Technological,Transport,Road,Road,10,20,0,0,Jawa Barat
2022-0595-IDN,2022,September,Natural,Geophysical,Earthquake,Ground movement,9,6003,0,0,Sumatera Barat
2022-0619-IDN,2022,Oktober,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),135,154226,0,0,Kalimantan Barat
2022-0642-IDN,2022,Oktober,Natural,Hydrological,Flood,Flash flood,10,40002,0,0,Jakarta
2022-0642-IDN,2022,Oktober,Natural,Hydrological,Flood,Flash flood,10,40002,0,0,Sumatera Selatan
2022-0642-IDN,2022,Oktober,Natural,Hydrological,Flood,Flash flood,10,40002,0,0,Sulawesi Selatan
2022-0642-IDN,2022,Oktober,Natural,Hydrological,Flood,Flash flood,10,40002,0,0,Aceh
2022-0694-IDN,2022,Oktober,Natural,Hydrological,Flood,Flood (General),5,203,0,0,Bali
2022-0700-IDN,2022,Oktober,Technological,Transport,Water,Water,14,226,0,0,Nusa Tenggara Timur
2022-0732-IDN,2022,November,Natural,Hydrological,Flood,Flood (General),585,511572,0,0,Sumatera Utara
2022-0736-IDN,2022,November,Natural,Hydrological,Flood,Flood (General),3,7000,0,0,Jawa Barat
2022-0736-IDN,2022,November,Natural,Hydrological,Flood,Flood (General),3,7000,0,0,Banten
2022-0736-IDN,2022,November,Natural,Hydrological,Flood,Flood (General),3,7000,0,0,Lampung
2022-0755-IDN,2022,November,Natural,Geophysical,Earthquake,Ground movement,334,2204645,0,0,Jawa Barat
2022-0782-IDN,2022,November,Natural,Hydrological,Flood,Flood (General),1,12500,0,0,Jawa Timur
2022-0787-IDN,2022,Desember,Natural,Geophysical,Volcanic activity,Ash fall,2,2489,0,0,Jawa Timur
2022-0803-IDN,2022,Desember,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),10,70717,0,0,Sumatera Selatan
2022-0845-IDN,2022,Desember,Natural,Hydrological,Flood,Flood (General),47,196745,0,0,Jawa Tengah
2022-0847-IDN,2022,Desember,Natural,Hydrological,Flood,Flood (General),1,3210,0,0,Nusa Tenggara Timur
2023-0006-IDN,2023,Januari,Natural,Geophysical,Earthquake,Ground movement,1,4421,0,0,Maluku
2023-0041-IDN,2023,Januari,Natural,Hydrological,Flood,Flood (General),26,100000,0,0,Sumatera Barat
2023-0041-IDN,2023,Januari,Natural,Hydrological,Flood,Flood (General),26,100000,0,0,Aceh
2023-0044-IDN,2023,Januari,Natural,Hydrological,Flood,Flood (General),12,16700,0,0,Sulawesi Utara
2023-0073-IDN,2023,Februari,Natural,Geophysical,Earthquake,Ground movement,4,2136,0,0,Papua
2023-0123-IDN,2023,Maret,Natural,Hydrological,Mass movement (wet),Landslide (wet),55,1208,0,0,Riau
2023-0127-IDN,2023,Maret,Natural,Meteorological,Storm,Severe weather,1,653,0,0,Sulawesi Tengah
2023-0127-IDN,2023,Maret,Natural,Meteorological,Storm,Severe weather,1,653,0,0,Sulawesi Tenggara
2023-0133-IDN,2023,Maret,Technological,Industrial accident,Fire (Industrial),Fire (Industrial),33,60,0,0,Jakarta
2023-0227-IDN,2023,Mei,Natural,Hydrological,Mass movement (wet),Landslide (wet),5,130,0,0,Sulawesi Tengah
2023-0227-IDN,2023,April,Natural,Hydrological,Mass movement (wet),Landslide (wet),5,130,0,0,Jawa Barat
2023-0366-IDN,2023,Juni,Natural,Meteorological,Storm,Severe weather,15,337,0,0,Kepulauan Riau
2023-0378-IDN,2023,Juni,Natural,Geophysical,Earthquake,Ground movement,1,1120,0,0,Yogyakarta
2023-0378-IDN,2023,Juni,Natural,Geophysical,Earthquake,Ground movement,1,1120,0,0,Jawa Timur
2023-0378-IDN,2023,Juni,Natural,Geophysical,Earthquake,Ground movement,1,1120,0,0,Jawa Tengah
2023-0437-IDN,2023,Juli,Natural,Hydrological,Flood,Flood (General),6,517,0,0,Jawa Timur
2023-0437-IDN,2023,Juli,Natural,Hydrological,Flood,Flood (General),6,517,0,0,Bali
2023-0469-IDN,2023,Juli,Technological,Transport,Water,Water,15,6,0,0,Sulawesi Barat
2023-0601-IDN,2023,September,Natural,Hydrological,Flood,Flood (General),35,14500,0,0,Sumatera Utara
2023-0803-IDN,2023,November,Natural,Hydrological,Flood,Flood (General),16,17750,0,0,Jawa Barat
2023-0803-IDN,2023,November,Natural,Hydrological,Flood,Flood (General),16,17750,0,0,Kalimantan Barat
2023-0820-IDN,2023,Desember,Natural,Geophysical,Volcanic activity,Ash fall,23,87,0,0,Jambi
2023-0851-IDN,2023,Desember,Natural,Geophysical,Volcanic activity,Ash fall,4,2229,0,0,Nusa Tenggara Timur
2023-0853-IDN,2023,Desember,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),13,46,0,0,Sulawesi Tengah
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Jawa Barat
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Jawa Tengah
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Jawa Timur
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Banten
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Lampung
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Sulawesi Selatan
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Sulawesi Tenggara
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Sulawesi Barat
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Kalimantan Barat
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Kalimantan Selatan
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Nusa Tenggara Barat
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Nusa Tenggara Timur
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Yogyakarta
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Bali
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Maluku
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Papua
2023-9494-IDN,2023,Agustus,Natural,Climatological,Drought,Drought,2665,18750000,0,0,Papua Barat